text,sentiment
"Nói chung là Hệ thống treo êm ái, đi qua gờ giảm tốc không bị xóc nảy.",positive
"Nói chung là Hệ thống treo êm ái, đi qua gờ giảm tốc không bị xóc nảy.",positive
"Nhìn chung Tiết kiệm nhiên liệu cực kỳ, chạy dịch vụ hay gia đình đều ổn.",positive
Thực sự thì Giá lăn bánh tầm 700 triệu thì cũng là một lựa chọn để cân nhắc.,neutral
"Ôi dào, Vỏ xe hơi mỏng, đi tốc độ cao nghe tiếng lốp vọng vào cabin rất khó chịu.",negative
"Nhìn chung Thông số kỹ thuật thấy ghi giống bản cũ, không thay đổi mấy.",neutral
"Ôi dào, Tiết kiệm nhiên liệu cực kỳ, chạy dịch vụ hay gia đình đều ổn.",positive
"Nói chung là Màn hình giải trí mượt, loa nghe hay, đáng tiền.",positive
"Thực sự thì Xe hay bị lỗi vặt về cảm biến, mang ra hãng bảo hành suốt phát mệt.",negative
"Ôi dào, Thông số kỹ thuật thấy ghi giống bản cũ, không thay đổi mấy.",neutral
"Thực sự thì Xe mới mua nên chưa có đánh giá gì nhiều, cần trải nghiệm thêm.",neutral
Nhìn chung Giá lăn bánh tầm 700 triệu thì cũng là một lựa chọn để cân nhắc.,neutral
"Ôi dào, Giá lăn bánh tầm 700 triệu thì cũng là một lựa chọn để cân nhắc.",neutral
"Nhìn chung Điều hòa mát chậm quá, trưa nắng ngồi hàng ghế sau nóng chảy mỡ.",negative
"Nhìn chung Xe đi rất đầm chắc, cách âm tốt vượt trội trong tầm giá.",positive
"Ôi dào, Điều hòa mát chậm quá, trưa nắng ngồi hàng ghế sau nóng chảy mỡ.",negative
"Nói chung là Chi phí bảo dưỡng của hãng quá đắt đỏ, dịch vụ chăm sóc khách hàng kém.",negative
"Thực sự thì Chi phí bảo dưỡng của hãng quá đắt đỏ, dịch vụ chăm sóc khách hàng kém.",negative
"Nói chung là Xe mới mua nên chưa có đánh giá gì nhiều, cần trải nghiệm thêm.",neutral
"Thực sự thì Vỏ xe hơi mỏng, đi tốc độ cao nghe tiếng lốp vọng vào cabin rất khó chịu.",negative
"Nhìn chung Tiết kiệm nhiên liệu cực kỳ, chạy dịch vụ hay gia đình đều ổn.",positive
Đánh giá khách quan: Giá lăn bánh tầm 700 triệu thì cũng là một lựa chọn để cân nhắc.,neutral
Đánh giá khách quan: Tôi đang phân vân xe này với một dòng xe khác cùng phân khúc.,neutral
"Ôi dào, Xe đi rất đầm chắc, cách âm tốt vượt trội trong tầm giá.",positive
"Ôi dào, Vỏ xe hơi mỏng, đi tốc độ cao nghe tiếng lốp vọng vào cabin rất khó chịu.",negative
